Cue,Mods,Variable,post_mean,Lower,Upper,Significant,nSpecies,nObservations
All,All,Percentage,-0.6414,-0.8764,-0.3875,Yes,19,557
All,Treatment type,Percentage,,,,,,
All,Combined,Percentage,-2.1431,-3.46,-0.7939,Yes,5,55
All,Single,Percentage,-0.5475,-0.7844,-0.3144,Yes,19,502
All,Heat,Percentage,-0.8314,-1.1762,-0.4854,Yes,18,297
All,Smoke,Percentage,0.05709,-0.23702,0.34238,No,15,205
All,Dormancy,Percentage,,,,,,
All,Dormant,Percentage,0.218,-0.2483,0.6999,No,7,87
All,Non-dormant,Percentage,-0.8143,-1.0772,-0.5204,Yes,12,470
All,Seed mass,Percentage,0.17869,-0.09313,0.45449,No,18,537
Shock,80 °C for 2',Percentage,0.1794,-0.5427,0.9028,No,18,132
Shock,80 °C for 5',Percentage,0.1085,-0.5668,0.7975,No,18,136
Shock,100 °C for 1',Percentage,-0.54476,-1.039,-0.08851,Yes,18,156
Shock,100 °C for 5',Percentage,-1.1217,-1.5996,-0.6626,Yes,12,131
Shock,200 °C for 1',Percentage,-2.4851,-3.0959,-1.8891,Yes,18,156
Heat,All,Percentage,-0.4996,-0.8144,-0.1875,Yes,18,257
Heat,Growth form,Percentage,,,,,,
Heat,Herb,Percentage,-0.3725,-0.8644,0.1113,No,7,77
Heat,Shrub,Percentage,-0.5659,-0.9754,-0.1574,Yes,11,180
Heat,Distribution,Percentage,,,,,,
Heat,Restricted,Percentage,-0.6453,-1.1514,-0.1769,Yes,8,118
Heat,Widespread,Percentage,-0.3659,-0.7894,0.0643,No,10,139
Heat,Microhabitat,Percentage,,,,,,
Heat,Mesic/Xeric,Percentage,-0.07152,-0.62895,0.47181,No,6,54
Heat,Xeric,Percentage,-0.5606,-0.9779,-0.1476,Yes,11,178
Heat,Dormancy,Percentage,,,,,,
Heat,Dormant,Percentage,0.256,-0.3283,0.8975,No,6,52
Heat,Non-dormant,Percentage,-0.722,-1.1083,-0.3453,Yes,12,205
Heat,Seed mass,Percentage,0.39883,0.05425,0.73958,Yes,17,247
Smoke,All,Percentage,0.05709,-0.23702,0.34238,No,15,205
Smoke,Growth form,Percentage,,,,,,
Smoke,Herb,Percentage,0.4458,-0.2126,1.117,No,4,50
Smoke,Shrub,Percentage,-0.02492,-0.36792,0.30828,No,11,155
Smoke,Distribution,Percentage,,,,,,
Smoke,Restricted,Percentage,0.1808,-0.2936,0.6617,No,7,90
Smoke,Widespread,Percentage,-0.0214,-0.3976,0.3994,No,8,115
Smoke,Microhabitat,Percentage,,,,,,
Smoke,Mesic/Xeric,Percentage,0.2431,-0.5556,1.0576,No,3,30
Smoke,Xeric,Percentage,0.01793,-0.32786,0.33935,No,11,155
Smoke,Dormancy,Percentage,,,,,,
Smoke,Dormant,Percentage,0.4992,-0.3417,1.3698,No,3,30
Smoke,Non-dormant,Percentage,-0.02123,-0.33143,0.29876,No,12,175
Smoke,Seed mass,Percentage,0.0003661,-0.3166496,0.3315689,No,14,195
All,All,Time,-0.2827,-0.8975,0.2959,No,12,327
All,Treatment type,Time,,,,,,
All,Combined,Time,-1.8849,-3.4961,-0.1714,Yes,3,30
All,Single,Time,-0.2603,-0.8513,0.4022,No,12,297
All,Heat,Time,0.01163,-0.92517,0.92209,No,12,177
All,Smoke,Time,-0.9744,-1.6698,-0.3099,Yes,8,120
All,Dormancy,Time,,,,,,
All,Dormant,Time,-1.4935,-3.5512,0.5861,No,5,52
All,Non-dormant,Time,-0.08785,-0.72807,0.51267,No,7,275
All,Seed mass,Time,-0.60796,-1.23917,0.03886,No,11,307
Shock,80 °C for 2',Time,-1.4625,-2.9943,0.0751,No,12,92
Shock,80 °C for 5',Time,-0.4662,-1.765,0.9103,No,12,96
Shock,100 °C for 1',Time,,,,,,
Shock,100 °C for 5',Time,0.9436,-0.5194,2.229,No,12,131
Shock,200 °C for 1',Time,,,,,,
Heat,All,Time,-0.06617,-1.02868,0.83578,No,12,172
Heat,Growth form,Time,,,,,,
Heat,Herb,Time,-1.1838,-2.4483,0.1114,No,7,77
Heat,Shrub,Time,0.716,-0.5547,2.0735,No,5,95
Heat,Distribution,Time,,,,,,
Heat,Restricted,Time,-0.90024,-1.86231,0.08562,No,7,103
Heat,Widespread,Time,1.0166,-0.7558,2.8553,No,5,69
Heat,Microhabitat,Time,,,,,,
Heat,Mesic/Xeric,Time,-2.855,-4.804,-1.027,Yes,5,44
Heat,Xeric,Time,1.0431,-0.1392,2.1094,No,6,103
Heat,Dormancy,Time,,,,,,
Heat,Dormant,Time,-1.982569,-3.955341,0.005526,No,5,42
Heat,Non-dormant,Time,-0.7228,-1.1083,-0.3453,Yes,7,130
Heat,Seed mass,Time,-0.96355,-1.98663,-0.03294,Yes,11,162
Smoke,All,Time,-0.9744,-1.6698,-0.3099,Yes,8,120
Smoke,Growth form,Time,,,,,,
Smoke,Herb,Time,-1.5603,-3.5475,0.4111,No,3,40
Smoke,Shrub,Time,-0.7852,-1.2938,-0.2978,Yes,5,80
Smoke,Distribution,Time,,,,,,
Smoke,Restricted,Time,,,,,,
Smoke,Widespread,Time,,,,,,
Smoke,Microhabitat,Time,,,,,,
Smoke,Mesic/Xeric,Time,,,,,,
Smoke,Xeric,Time,,,,,,
Smoke,Dormancy,Time,,,,,,
Smoke,Dormant,Time,,,,,,
Smoke,Non-dormant,Time,,,,,,
Smoke,Seed mass,Time,-0.1309,-0.8478,0.6216,No,7,110